LGT_COND,PER_ONE_AGE,PER_ONE_SEX,PER_TWO_AGE,PER_TWO_SEX,VEH_ONE_IMP,VEH_TWO_IMP,VEH_ONE_DR_SF1,VEH_ONE_DR_SF2,VEH_ONE_DR_SF3,VEH_ONE_DR_SF4,VEH_TWO_DR_SF1,VEH_TWO_DR_SF2,VEH_TWO_DR_SF3,VEH_TWO_DR_SF4,VEH_ONE_DR_VIO1,VEH_ONE_DR_VIO2,VEH_ONE_DR_VIO3,VEH_ONE_DR_VIO4,VEH_TWO_DR_VIO1,VEH_TWO_DR_VIO2,VEH_TWO_DR_VIO3,VEH_TWO_DR_VIO4
3.0,41.0,1.0,62.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,2.0,71.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,56.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,21.0,1.0,39.0,2.0,1.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,1.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,23.0,1.0,47.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0
1.0,24.0,1.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,41.0,1.0,35.0,2.0,1.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,72.0,1.0,36.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
